"","opt","ins","net.wrth"
"188","noadpt",0,743994.819017379
"189","noadpt",1,761195.129550613
"190","noadpt",0,751457.975174727
"191","noadpt",1,832016.92037116
"192","noadpt",0,828919.473040528
"193","noadpt",1,785190.563129193
"194","noadpt",0,783742.847284909
"195","noadpt",1,827927.084989318
"196","noadpt",0,806088.962985393
"197","noadpt",1,687927.708192566
"198","noadpt",0,673188.698139431
"199","noadpt",1,638155.090036973
"200","noadpt",0,618218.458206874
"201","noadpt",1,769479.492024792
"202","noadpt",0,751457.975174727
"203","noadpt",1,740974.73544449
"204","noadpt",0,730601.522548079
"205","noadpt",1,668696.215736996
"206","noadpt",0,628086.731066382
"207","noadpt",1,656370.355173934
"208","noadpt",0,628086.731066382
"209","noadpt",1,789403.788285938
"210","noadpt",0,782286.429212471
"211","noadpt",1,672061.717419819
"212","noadpt",0,653480.193082727
"213","noadpt",1,788155.886469141
"214","noadpt",0,766805.050933618
"215","noadpt",1,765479.785319506
"216","noadpt",0,760005.314634856
"217","noadpt",1,723178.854124905
"218","noadpt",0,632481.150403389
"219","noadpt",1,708489.858622598
"220","noadpt",0,632481.150403389
"221","noadpt",1,744728.266637926
"222","noadpt",0,740111.208475808
"223","noadpt",1,677434.15900164
"224","noadpt",0,673506.463989792
"225","noadpt",1,745703.732646207
"226","noadpt",0,740111.208475808
"227","noadpt",1,833086.415783748
"228","noadpt",0,806088.962985393
"229","noadpt",1,679892.23770752
"230","noadpt",0,653480.193082727
"231","noadpt",1,721740.502968655
"232","noadpt",0,731837.438938878
"233","noadpt",1,678762.966375501
"234","noadpt",0,653480.193082727
"235","noadpt",1,676210.469588024
"236","noadpt",0,632481.150403389
"237","noadpt",1,730497.057028328
"238","noadpt",0,719528.334342972
"239","noadpt",1,694354.276613492
"240","noadpt",0,690796.275508481
"241","noadpt",1,651794.647094496
"242","noadpt",0,638941.263064015
"243","noadpt",1,699008.534192703
"244","noadpt",0,685450.667784964
"245","noadpt",1,844137.223438395
"246","noadpt",0,806088.962985393
"247","noadpt",1,700091.07244107
"248","noadpt",0,687154.478387915
"249","noadpt",1,788483.800340238
"250","noadpt",0,782286.429212471
"251","noadpt",1,662209.537904494
"252","noadpt",0,636647.793048499
"253","noadpt",1,693438.641872414
"254","noadpt",0,673188.698139431
"255","noadpt",1,834949.481455108
"256","noadpt",0,828919.473040528
"257","noadpt",1,763889.704378105
"258","noadpt",0,760005.314634856
"259","noadpt",1,705291.374620924
"260","noadpt",0,687154.478387915
"261","noadpt",1,653099.103210263
"262","noadpt",0,638941.263064015
"263","noadpt",1,725261.723770406
"264","noadpt",0,717842.93898144
"265","noadpt",1,839577.995607274
"266","noadpt",0,838841.852716036
"267","noadpt",1,662295.329359941
"268","noadpt",0,630627.317563799
"269","noadpt",1,632212.495783781
"270","noadpt",0,620303.695448976
"271","noadpt",1,840044.48202932
"272","noadpt",0,838841.852716036
"273","noadpt",1,677861.685951941
"274","noadpt",0,673506.463989792
"275","noadpt",1,692514.901645851
"276","noadpt",0,678736.11780164
"277","noadpt",1,751914.586321102
"278","noadpt",0,664779.003338193
"279","noadpt",1,780473.590415663
"280","noadpt",0,749666.805427564
"281","noadpt",1,663203.171675402
"282","noadpt",0,638941.263064015
"283","noadpt",1,728338.628259324
"284","noadpt",0,719528.334342972
"285","noadpt",1,653154.659367208
"286","noadpt",0,638941.263064015
"287","noadpt",1,653972.456306215
"288","noadpt",0,630627.317563799
"289","noadpt",1,790487.904087547
"290","noadpt",0,782286.429212471
"291","noadpt",1,653713.285142403
"292","noadpt",0,638941.263064015
"293","noadpt",1,702954.907568812
"294","noadpt",0,694983.59684805
"295","noadpt",1,840614.652573868
"296","noadpt",0,838841.852716036
"297","noadpt",1,718034.005668092
"298","noadpt",0,706383.359205162
"299","noadpt",1,835199.123867759
"300","noadpt",0,817159.242868053
"301","noadpt",1,691639.760596759
"302","noadpt",0,673188.698139431
"303","noadpt",1,628033.978088867
"304","noadpt",0,620303.695448976
"305","noadpt",1,727489.540927439
"306","noadpt",0,719528.334342972
"307","noadpt",1,767481.429602498
"308","noadpt",0,712551.44644416
"309","noadpt",1,785532.720460888
"310","noadpt",0,783742.847284909
"311","noadpt",1,724601.368348794
"312","noadpt",0,731837.438938878
"313","noadpt",1,744753.832941916
"314","noadpt",0,740111.208475808
"315","noadpt",1,721945.759169785
"316","noadpt",0,731837.438938878
"317","noadpt",1,736983.606994299
"318","noadpt",0,695540.807898523
"319","noadpt",1,892737.316230375
"320","noadpt",0,897188.520075122
"321","noadpt",1,833092.44877015
"322","noadpt",0,824502.828003981
"323","noadpt",1,760844.413666981
"324","noadpt",0,749666.805427564
"325","noadpt",1,840241.954734019
"326","noadpt",0,838841.852716036
"327","noadpt",1,713165.533803882
"328","noadpt",0,693162.160170288
"329","noadpt",1,833553.893860346
"330","noadpt",0,824502.828003981
"331","noadpt",1,696353.507574868
"332","noadpt",0,690796.275508481
"333","noadpt",1,697368.004466175
"334","noadpt",0,685450.667784964
"335","noadpt",1,633080.599657297
"336","noadpt",0,620303.695448976
"337","noadpt",1,825595.825881884
"338","noadpt",0,804432.570493911
"339","noadpt",1,702426.222847172
"340","noadpt",0,694983.59684805
"341","noadpt",1,764429.583444122
"342","noadpt",0,703877.226958497
"343","noadpt",1,788269.038992506
"344","noadpt",0,782286.429212471
"345","noadpt",1,817457.318287095
"346","noadpt",0,787467.525798212
"347","noadpt",1,735665.061357949
"348","noadpt",0,719528.334342972
"349","noadpt",1,694687.542496772
"350","noadpt",0,679485.728580517
"351","noadpt",1,778551.946695428
"352","noadpt",0,700932.031586051
"353","noadpt",1,650913.701019683
"354","noadpt",0,628086.731066382
"355","noadpt",1,822670.645649499
"356","noadpt",0,804432.570493911
"357","noadpt",1,685386.14838724
"358","noadpt",0,632481.150403389
"359","noadpt",1,776769.329890991
"360","noadpt",0,766805.050933618
"361","noadpt",1,708738.387421417
"362","noadpt",0,632481.150403389
"363","noadpt",1,766170.057516249
"364","noadpt",0,760005.314634856
"365","noadpt",1,775370.266448665
"366","noadpt",0,760526.4122432
"367","noadpt",1,713459.35985577
"368","noadpt",0,706383.359205162
"369","noadpt",1,788672.318174548
"370","noadpt",0,782286.429212471
"371","noadpt",1,832907.778073952
"372","noadpt",0,828919.473040528
"373","noadpt",1,756024.911064953
"374","noadpt",0,757037.762691061
"375","noadpt",1,749729.897757199
"376","noadpt",0,743994.819017379
"377","noadpt",1,745255.936247136
"378","noadpt",0,740111.208475808
"379","noadpt",1,706509.765750395
"380","noadpt",0,687154.478387915
"381","noadpt",1,893461.545863308
"382","noadpt",0,897188.520075122
"383","noadpt",1,667565.729364302
"384","noadpt",0,651619.422788467
"385","noadpt",1,695718.550301835
"386","noadpt",0,690796.275508481
"387","noadpt",1,771237.256068985
"388","noadpt",0,703877.226958497
"389","noadpt",1,627296.9278913
"390","noadpt",0,616615.923559374
"391","noadpt",1,634178.083569328
"392","noadpt",0,616615.923559374
"393","noadpt",1,712186.284160584
"394","noadpt",0,632481.150403389
"395","noadpt",1,760629.865542713
"396","noadpt",0,703877.226958497
"397","noadpt",1,697598.851157124
"398","noadpt",0,673188.698139431
"399","noadpt",1,681978.423272339
"400","noadpt",0,657490.123460447
"401","noadpt",1,695533.248238665
"402","noadpt",0,679485.728580517
"403","noadpt",1,718008.389024328
"404","noadpt",0,706383.359205162
"405","noadpt",1,731182.566173184
"406","noadpt",0,719528.334342972
"407","noadpt",1,845170.284731071
"408","noadpt",0,846233.276263254
"409","noadpt",1,653232.740084065
"410","noadpt",0,636647.793048499
"411","noadpt",1,679480.646729533
"412","noadpt",0,654672.898142723
"413","noadpt",1,634236.096736041
"414","noadpt",0,620303.695448976
"415","noadpt",1,652527.305406725
"416","noadpt",0,622317.097915591
"417","noadpt",1,845086.517185737
"418","noadpt",0,846233.276263254
"419","noadpt",1,692628.046054418
"420","noadpt",0,677720.873979838
"421","noadpt",1,644051.287535227
"422","noadpt",0,608155.111658862
"423","noadpt",1,644247.148836023
"424","noadpt",0,608155.111658862
"425","noadpt",1,818370.674710165
"426","noadpt",0,804432.570493911
"427","noadpt",1,894449.717699561
"428","noadpt",0,897188.520075122
"429","noadpt",1,695952.630590777
"430","noadpt",0,678417.417537953
"431","noadpt",1,628555.423924117
"432","noadpt",0,616615.923559374
"433","noadpt",1,747304.276543569
"434","noadpt",0,703877.226958497
"435","noadpt",1,789077.173155708
"436","noadpt",0,766805.050933618
"437","noadpt",1,735109.761425316
"438","noadpt",0,695540.807898523
"439","noadpt",1,629355.441423452
"440","noadpt",0,616615.923559374
"441","noadpt",1,660428.54909788
"442","noadpt",0,651619.422788467
"443","noadpt",1,696155.627739677
"444","noadpt",0,678736.11780164
"445","noadpt",1,788596.382881391
"446","noadpt",0,782286.429212471
"447","noadpt",1,752143.850357255
"448","noadpt",0,743994.819017379
"449","noadpt",1,660122.35072149
"450","noadpt",0,636647.793048499
"451","noadpt",1,765292.528591912
"452","noadpt",0,760005.314634856
"453","noadpt",1,812018.250404909
"454","noadpt",0,787467.525798212
"455","noadpt",1,747689.259784358
"456","noadpt",0,700932.031586051
"457","noadpt",1,707053.97545668
"458","noadpt",0,678417.417537953
"459","noadpt",1,745529.631066136
"460","noadpt",0,700932.031586051
"461","noadpt",1,686365.024798954
"462","noadpt",0,654672.898142723
"463","noadpt",1,699980.667320042
"464","noadpt",0,685450.667784964
"465","noadpt",1,679334.868525454
"466","noadpt",0,673506.463989792
"467","noadpt",1,687187.552103659
"468","noadpt",0,657490.123460447
"469","noadpt",1,672176.941871837
"470","noadpt",0,657490.123460447
"471","noadpt",1,802780.012399733
"472","noadpt",0,787467.525798212
"473","noadpt",1,708990.777592457
"474","noadpt",0,693162.160170288
"475","noadpt",1,729751.983960238
"476","noadpt",0,719528.334342972
"477","noadpt",1,657340.50473441
"478","noadpt",0,628086.731066382
"479","noadpt",1,764824.909212465
"480","noadpt",0,760005.314634856
"481","noadpt",1,757091.449611125
"482","noadpt",0,700932.031586051
"483","noadpt",1,704476.636240259
"484","noadpt",0,698903.068459784
"485","noadpt",1,723336.226068343
"486","noadpt",0,731837.438938878
"487","noadpt",1,829436.444106399
"488","noadpt",0,806088.962985393
"489","noadpt",1,789423.49458891
"490","noadpt",0,782286.429212471
"491","noadpt",1,760155.392072815
"492","noadpt",0,743994.819017379
"493","noadpt",1,710134.506609743
"494","noadpt",0,698903.068459784
"495","noadpt",1,705149.960819903
"496","noadpt",0,685834.312160322
"497","noadpt",1,756295.544145396
"498","noadpt",0,757037.762691061
"499","noadpt",1,661743.86943386
"500","noadpt",0,618218.458206874
"501","noadpt",1,673575.915526747
"502","noadpt",0,654672.898142723
"503","noadpt",1,688397.031905227
"504","noadpt",0,673188.698139431
"505","noadpt",1,699908.267314379
"506","noadpt",0,694983.59684805
"507","noadpt",1,719588.108752853
"508","noadpt",0,731837.438938878
"509","noadpt",1,633598.075954077
"510","noadpt",0,616615.923559374
"511","noadpt",1,755916.960135422
"512","noadpt",0,757037.762691061
"513","noadpt",1,776742.830664067
"514","noadpt",0,749666.805427564
"515","noadpt",1,834444.227523215
"516","noadpt",0,828919.473040528
"517","noadpt",1,821682.011685061
"518","noadpt",0,804432.570493911
"519","noadpt",1,777982.920884428
"520","noadpt",0,760526.4122432
"521","noadpt",1,697609.862500386
"522","noadpt",0,678736.11780164
"523","noadpt",1,671053.763709989
"524","noadpt",0,653480.193082727
"525","noadpt",1,744780.71832539
"526","noadpt",0,740111.208475808
"527","noadpt",1,716742.348161842
"528","noadpt",0,632481.150403389
"529","noadpt",1,759687.877278816
"530","noadpt",0,743994.819017379
"531","noadpt",1,659919.321592799
"532","noadpt",0,628086.731066382
"533","noadpt",1,709373.790217357
"534","noadpt",0,693162.160170288
"535","noadpt",1,755815.164415155
"536","noadpt",0,757037.762691061
"537","noadpt",1,710565.314358029
"538","noadpt",0,685834.312160322
"539","noadpt",1,720912.620996018
"540","noadpt",0,706383.359205162
"541","noadpt",1,725225.844476952
"542","noadpt",0,712859.64625358
"543","noadpt",1,696337.662701865
"544","noadpt",0,699663.268583966
"545","noadpt",1,652575.622458624
"546","noadpt",0,622317.097915591
"547","noadpt",1,653113.739747745
"548","noadpt",0,638941.263064015
"549","noadpt",1,654605.243715169
"550","noadpt",0,638941.263064015
"551","noadpt",1,767747.65512906
"552","noadpt",0,760005.314634856
"553","noadpt",1,809288.647447563
"554","noadpt",0,787467.525798212
"555","noadpt",1,816598.376882418
"556","noadpt",0,804432.570493911
"557","noadpt",1,763920.005504291
"558","noadpt",0,751457.975174727
"559","noadpt",1,747972.11194047
"560","noadpt",0,740111.208475808
"561","noadpt",1,711561.258773007
"562","noadpt",0,685834.312160322
"563","noadpt",1,711570.73999882
"564","noadpt",0,693162.160170288
"565","noadpt",1,835024.485345993
"566","noadpt",0,826049.914637322
"567","noadpt",1,832122.659009399
"568","noadpt",0,817159.242868053
"569","noadpt",1,759404.167043657
"570","noadpt",0,664779.003338193
"571","noadpt",1,741352.088975334
"572","noadpt",0,700932.031586051
"573","noadpt",1,715481.639969751
"574","noadpt",0,678417.417537953
"575","noadpt",1,745643.088351008
"576","noadpt",0,730601.522548079
"577","noadpt",1,750394.653702367
"578","noadpt",0,695540.807898523
"579","noadpt",1,838906.461504076
"580","noadpt",0,824502.828003981
"581","noadpt",1,831724.232942224
"582","noadpt",0,828919.473040528
"583","noadpt",1,718450.440414106
"584","noadpt",0,712859.64625358
"585","noadpt",1,677219.975939475
"586","noadpt",0,673506.463989792
"587","noadpt",1,642864.824226503
"588","noadpt",0,618218.458206874
"589","noadpt",1,698731.730049366
"590","noadpt",0,685450.667784964
"591","noadpt",1,729477.067276708
"592","noadpt",0,712859.64625358
"593","noadpt",1,667708.392488
"594","noadpt",0,622317.097915591
"595","noadpt",1,893957.814330452
"596","noadpt",0,897188.520075122
"597","noadpt",1,755888.118870615
"598","noadpt",0,757037.762691061
"599","noadpt",1,669972.123691809
"600","noadpt",0,628086.731066382
"601","noadpt",1,780971.39698985
"602","noadpt",0,766805.050933618
"603","noadpt",1,718904.987573712
"604","noadpt",0,706383.359205162
"605","noadpt",1,840631.379369181
"606","noadpt",0,838841.852716036
"607","noadpt",1,697412.100901987
"608","noadpt",0,679485.728580517
"609","noadpt",1,771955.42586067
"610","noadpt",0,703877.226958497
"611","noadpt",1,720519.599698268
"612","noadpt",0,731837.438938878
"613","noadpt",1,645839.712074849
"614","noadpt",0,618218.458206874
"615","noadpt",1,770102.598140872
"616","noadpt",0,700932.031586051
"617","noadpt",1,833842.811943738
"618","noadpt",0,826049.914637322
"619","noadpt",1,706291.761049767
"620","noadpt",0,698903.068459784
"621","noadpt",1,732367.993790708
"622","noadpt",0,712859.64625358
"623","noadpt",1,724362.189961989
"624","noadpt",0,717842.93898144
"625","noadpt",1,745191.200105658
"626","noadpt",0,740111.208475808
"627","noadpt",1,687918.181798728
"628","noadpt",0,685643.171777129
"629","noadpt",1,695797.959777786
"630","noadpt",0,685450.667784964
"631","noadpt",1,650883.832400844
"632","noadpt",0,608155.111658862
"633","noadpt",1,755566.135668403
"634","noadpt",0,757037.762691061
"635","noadpt",1,894049.188002643
"636","noadpt",0,897188.520075122
"637","noadpt",1,778578.79081709
"638","noadpt",0,749666.805427564
"639","noadpt",1,752213.182593456
"640","noadpt",0,743994.819017379
"641","noadpt",1,706338.228452472
"642","noadpt",0,632481.150403389
"643","noadpt",1,730965.109111019
"644","noadpt",0,712859.64625358
"645","noadpt",1,704441.625505947
"646","noadpt",0,693162.160170288
"647","noadpt",1,756407.838829527
"648","noadpt",0,757037.762691061
"649","noadpt",1,838113.753944274
"650","noadpt",0,826049.914637322
"651","noadpt",1,685213.204741449
"652","noadpt",0,677720.873979838
"653","noadpt",1,785223.787236219
"654","noadpt",0,783742.847284909
"655","noadpt",1,719920.854182465
"656","noadpt",0,731837.438938878
"657","noadpt",1,635967.184321051
"658","noadpt",0,616615.923559374
"659","noadpt",1,674860.769936051
"660","noadpt",0,651619.422788467
"661","noadpt",1,665292.590717859
"662","noadpt",0,636647.793048499
"663","noadpt",1,691923.232737132
"664","noadpt",0,677720.873979838
"665","noadpt",1,676874.241119948
"666","noadpt",0,673506.463989792
"667","noadpt",1,696611.169969718
"668","noadpt",0,679485.728580517
"669","noadpt",1,839997.131824891
"670","noadpt",0,838841.852716036
"671","noadpt",1,719877.683918827
"672","noadpt",0,712204.641906937
"673","noadpt",1,688460.091201955
"674","noadpt",0,685643.171777129
"675","noadpt",1,760082.763369555
"676","noadpt",0,751457.975174727
"677","noadpt",1,840227.998311996
"678","noadpt",0,838841.852716036
"679","noadpt",1,789422.961452476
"680","noadpt",0,782286.429212471
"681","noadpt",1,787135.577706423
"682","noadpt",0,782286.429212471
"683","noadpt",1,831393.345705502
"684","noadpt",0,824502.828003981
"685","noadpt",1,658787.466096092
"686","noadpt",0,630627.317563799
"687","noadpt",1,665026.637814388
"688","noadpt",0,651619.422788467
"689","noadpt",1,717601.841929984
"690","noadpt",0,731837.438938878
"691","noadpt",1,722008.904830751
"692","noadpt",0,717842.93898144
"693","noadpt",1,780928.392341918
"694","noadpt",0,766805.050933618
"695","noadpt",1,694868.568479611
"696","noadpt",0,677720.873979838
"697","noadpt",1,786213.189263797
"698","noadpt",0,783742.847284909
"699","noadpt",1,765170.888237686
"700","noadpt",0,703877.226958497
"701","noadpt",1,688130.484240593
"702","noadpt",0,685643.171777129
"703","noadpt",1,763284.794655221
"704","noadpt",0,751457.975174727
"705","noadpt",1,839834.114203177
"706","noadpt",0,838841.852716036
"707","noadpt",1,700177.603878795
"708","noadpt",0,673188.698139431
"709","noadpt",1,694774.795166833
"710","noadpt",0,677720.873979838
"711","noadpt",1,690445.802834997
"712","noadpt",0,677720.873979838
"713","noadpt",1,708334.857788235
"714","noadpt",0,694983.59684805
"715","noadpt",1,696861.898332532
"716","noadpt",0,677720.873979838
"717","noadpt",1,695829.920365094
"718","noadpt",0,690796.275508481
"719","noadpt",1,688320.77985895
"720","noadpt",0,685643.171777129
"721","noadpt",1,722301.195313215
"722","noadpt",0,712204.641906937
"723","noadpt",1,639130.518751919
"724","noadpt",0,608155.111658862
"725","noadpt",1,764538.347856213
"726","noadpt",0,749666.805427564
"727","noadpt",1,815156.768030587
"728","noadpt",0,787467.525798212
"729","noadpt",1,765457.103884338
"730","noadpt",0,751457.975174727
"731","noadpt",1,724810.814693164
"732","noadpt",0,712204.641906937
"733","noadpt",1,665307.05615203
"734","noadpt",0,622317.097915591
"735","noadpt",1,689980.075654679
"736","noadpt",0,685643.171777129
"737","noadpt",1,785453.745900333
"738","noadpt",0,783742.847284909
"739","noadpt",1,659128.899789658
"740","noadpt",0,638941.263064015
"741","noadpt",1,788072.349645134
"742","noadpt",0,782286.429212471
"743","noadpt",1,703199.087156251
"744","noadpt",0,678736.11780164
"745","noadpt",1,689562.598851215
"746","noadpt",0,685643.171777129
"747","noadpt",1,771950.313006137
"748","noadpt",0,760526.4122432
"749","noadpt",1,834704.63391178
"750","noadpt",0,828919.473040528
"751","noadpt",1,719447.177840707
"752","noadpt",0,731837.438938878
"753","noadpt",1,840495.478515714
"754","noadpt",0,826049.914637322
"755","noadpt",1,671002.428834587
"756","noadpt",0,654672.898142723
"757","noadpt",1,755327.731768244
"758","noadpt",0,757037.762691061
"759","noadpt",1,692967.383488769
"760","noadpt",0,678417.417537953
"761","noadpt",1,658495.793258734
"762","noadpt",0,638941.263064015
"763","noadpt",1,839802.025881257
"764","noadpt",0,838841.852716036
"765","noadpt",1,711648.525904821
"766","noadpt",0,678417.417537953
"767","noadpt",1,762962.413988942
"768","noadpt",0,749666.805427564
"769","noadpt",1,765539.063839226
"770","noadpt",0,703877.226958497
"771","noadpt",1,721052.867442928
"772","noadpt",0,712204.641906937
"773","noadpt",1,672301.10549457
"774","noadpt",0,651619.422788467
"775","noadpt",1,704723.453944712
"776","noadpt",0,698903.068459784
"777","noadpt",1,707111.446835563
"778","noadpt",0,693162.160170288
"779","noadpt",1,649302.722241862
"780","noadpt",0,630627.317563799
"781","noadpt",1,653589.131017225
"782","noadpt",0,630627.317563799
"783","noadpt",1,670018.312783008
"784","noadpt",0,654672.898142723
"785","noadpt",1,705065.975720042
"786","noadpt",0,694983.59684805
"787","noadpt",1,835148.990028847
