yr,adapt_choice,rev.calf,rev.ins,rev.int,rev.tot,cost.op,cost.ins,cost.adpt,cost.int,cost.tot,profit,taxes,aftax.inc,cap.sales,cap.purch,cap.taxes,assets.cow,assets.cash,net.wrth,wn.succ,forage.production,herd,calves.sold,cows.culled,zone.change,Gt,forage.potential,rangeHealth,mTurkID,simStartTime,timeElapse,household.exp,cost.adptexpend,total.forage
1954,0,280847.7,26767.2,135.4873,307750.4,3.00E+05,5654.82,0,0,365654.8,-57904.4,0,-57904.4,87550,0,13132.5,510000,27352.09,537352.1,0.8534249,0,600,395,103,0.9854239,0.265358,0.9854239,96,1000002,2017-06-20 20:45:31,5.827423 secs,60000,30000,0.734642
1955,0,323453.5,0,341.9011,323795.4,3.00E+05,5654.82,0,0,365654.8,-41859.45,0,-41859.45,87550,0,13132.5,522750,59910.14,582660.1,0.864101,0,615,415,103,0.9592749,0.002284838,0.9592749,0,1000222,2017-06-20 20:45:31,15.39234 secs,60000,0,0.9977152
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1000001,NA,NA,NA,NA,NA
1951,0,301566,0,0,301566,3.00E+05,5654.82,0,0,365654.8,-64088.85,0,-64088.85,87550,0,13132.5,510000,10328.65,520328.7,0.8638378,0,600,388,103,1,0.01064661,1,100,1000001,2017-06-20 20:51:25,1.794651 mins,60000,7600,0.9893534
1952,0,0,9028.8,129.1081,9157.908,3.00E+05,5654.82,0,0,365654.8,-356496.9,0,-356496.9,510000,0,76500,87550,87331.74,174881.7,0.8550536,0,103,0,600,0.9989353,0.2327828,0.9989353,98,1000001,2017-06-20 20:51:25,1.045408 mins,60000,0,0.7672172
1953,0,0,0,1091.647,1091.647,51500,5654.82,0,0,117154.8,-116063.2,0,-116063.2,87550,0,13132.5,102850,45686.07,148536.1,0.88,0,121,0,103,0.9756818,-4.607156,0.9756818,100,1000001,2017-06-20 20:51:25,1.155936 mins,60000,0,5.607156
1954,0,0,26767.2,571.0758,27338.28,60500,5654.82,0,0,126154.8,-98816.54,0,-98816.54,0,0,0,170850,-53130.48,117719.5,0.88,0,201,0,0,1.425194,-2.457554,1.425194,100,1000001,2017-06-20 20:51:25,50.01689 mins,60000,0,3.457554
1955,0,138060,0,0,138060,100500,5654.82,0,3453.481,169608.3,-31548.3,0,-31548.3,170850,0,25627.5,79900,60543.72,140443.7,0.88,0,94,177,201,1.775443,-4.512205,1.775443,0,1000001,2017-06-20 20:51:25,37.02467 mins,60000,0,5.512205
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1000004,NA,NA,NA,NA,NA
1951,0,295112.4,0,0,295112.4,3.00E+05,5654.82,0,0,365654.8,-70542.45,0,-70542.45,87550,0,13132.5,510000,3875.048,513875,0.8616777,0,600,388,103,1,0.07461967,1,99,1000004,2017-06-20 20:45:31,16.85817 secs,60000,0,0.9253803
1952,0,276506.6,9028.8,48.43809,285583.9,3.00E+05,5654.82,0,0,365654.8,-80070.96,0,-80070.96,87550,0,13132.5,510000,-1778.417,508221.6,0.8548143,0,600,385,103,0.992538,0.2376961,0.992538,97,1000004,2017-06-20 20:45:31,22.7461 secs,60000,0,0.7623039
1953,0,308880,0,0,308880,3.00E+05,5654.82,0,115.5971,365770.4,-56890.42,0,-56890.42,87550,0,13132.5,507450,15748.67,523198.7,0.88,0,597,396,103,0.9689458,-0.04009131,0.9689458,97,1000004,2017-06-20 20:45:31,43.06098 secs,60000,10000,1.040091
1954,0,307320,26767.2,196.8583,334284.1,298500,5654.82,0,0,364154.8,-29870.76,0,-29870.76,86700,0,13005,504900,59572.9,564472.9,0.88,0,594,394,102,0.9728304,-1.170309,0.9728304,100,1000004,2017-06-20 20:45:31,28.22768 secs,60000,200000,2.170309
1955,0,305760,0,744.6613,306504.7,297000,5654.82,0,0,362654.8,-56150.16,0,-56150.16,86700,0,13005,503200,77117.75,580317.7,0.88,0,592,392,102,1.086682,-0.1416438,1.086682,0,1000004,2017-06-20 20:45:31,17.69072 secs,60000,0,1.141644
0,noadpt,0,0,0,0,0,5654.82,0,0,0,0,0,0,0,0,0,510000,0,510000,0.88,1,600,396,102.72,1,0,1,100,1000001,NA,NA,NA,NA,NA
1951,0,295112.4,0,0,295112.4,3.00E+05,5654.82,0,0,365654.8,-70542.45,0,-70542.45,87550,0,13132.5,510000,3875.048,513875,0.8616777,0,600,388,103,1,0.07461967,1,99,1000001,2017-06-20 20:45:31,13.73285 secs,60000,0,0.9253803
1952,0,276506.6,9028.8,48.43809,285583.9,3.00E+05,5654.82,0,0,365654.8,-80070.96,0,-80070.96,87550,0,13132.5,510000,-1778.417,508221.6,0.8548143,0,600,385,103,0.992538,0.2376961,0.992538,97,1000001,2017-06-20 20:45:31,19.69294 secs,60000,0,0.7623039
1953,0,298192.8,0,0,298192.8,3.00E+05,5654.82,0,115.5971,365770.4,-67577.59,0,-67577.59,87550,0,13132.5,507450,5061.494,512511.5,0.8627419,0,597,388,103,0.9689458,0.04408378,0.9689458,96,1000004,2017-06-20 20:45:31,22.7538 secs,60000,0,0.9559162
1954,0,240604.5,26767.2,63.26868,267435,298500,5654.82,0,0,364154.8,-96719.84,0,-96719.84,86700,0,13005,504900,-17963.35,486936.6,0.8361767,0,594,374,102,0.9646743,0.5256632,0.9646743,91,1000001,2017-06-20 20:45:31,25.35157 secs,60000,0,0.4743368
1955,0,298272.7,0,0,298272.7,297000,5654.82,0,1167.618,363822.4,-65549.74,0,-65549.74,86700,0,13005,501500,-9818.086,491681.9,0.8635301,0,590,385,102,0.9139649,0.02025272,0.9139649,0,1000001,2017-06-20 20:45:31,21.68736 secs,60000,2300,0.9797473
